Medicines,Drugs
Arzolin ,Cephazolin 
Araxin ,Cephradine 
Acefen ,Aceclofenac 
Aclofen ,Aceclofenac 
Afenac ,Aceclofenac 
Alwel ,Aceclofenac 
Artocel ,Celecoxib 
Aclonac ,Diclofenac potassium 
Alfakalium ,Diclofenac potassium 
Anaran-K ,Diclofenac potassium 
Andic-K ,Diclofenac potassium 
Arthopot ,Diclofenac potassium 
Artecid Plus ,Diclofenac sodium 
Aksofenac ,Diclofenac Sodium 
Aleve ,Diclofenac Sodium 
Amdik ,Diclofenac Sodium 
Ame-Fenac ,Diclofenac Sodium 
Amfac ,Diclofenac Sodium 
Anac ,Diclofenac Sodium 
Araam ,Diclofenac Sodium 
Artecid ,Diclofenac Sodium 
Arthosure ,Diclofenac Sodium 
Arthron ,Diclofenac Sodium 
Artonec ,Diclofenac Sodium 
Atcora ,Diclofenac Sodium 
Arth ,Glucosamine sulphate 
Amofen ,Ibuprofen 
Abidacam ,Meloxicam 
Armex ,Meloxicam 
Abxicam ,Piroxicam 
Amdoxine ,Vitamin B6 
Actifed P  syrup,Paracetamol
Angilingual ,Glyceryl Trinitrate 
Anginil ,Isosorbide Mononitrate 
Acetamol ,Paracetamol 
Axamol extra ,Paracetamol 
Amphyll ,Aminophylline 
Airin ,Salbutamol 
Asalkar ,Salbutamol 
Asthasim ,Salbutamol 
Acefyl  syrup,Acefylline
Avomine ,Promethazine Theoclate 
Becefol  tablet,Vitamin B complex plain and with Vitamin C
Biflor ,Saccharomyces Boulardii 
Betnovate N Ointment  ointment,Neomycin
Bevidox  tablet,"Vitamin B1, B6, B12 combinations"
Betnovate N ,Neomycin
Bosmon ,Bosentan 
Bon-One ,Alfacalcidol 
Blephamide Sop Opthalmic Ointment  ointment,Prednisolone
Betnesol ,Betamethasone 
Blephamide Liquid  liquid,Phenylephrine
Blink Fresh  drops,Polyvinyl Alcohol
Busron ,Buspirone
Betasalic Lotion  lotion,"Betamethasone Dipropionate, Topical"
Betnelan ,"Betamethasone Sodium Phosphate, Inj/Oral"
Betnovate Lotion ,"Betamethasone Valerate, Topical"
Blokium ,Atenolol 
Blokium DIU ,Atenolol 
Byscard ,Nebivolol HCl 
Baycuten N  cream,Dexamethasone
Britanyl ,Terbutaline 
Barilol ,Bisoprolol
BEASY ,Montelukast
Beasy ,Montelukast
Biscot ,Bisoprolol 
Betaloc Zok ,Metoprolol Succinate 
Bapen ,Gabapentin 
breglin ,Pregabalin. 
Baxamin ,Methocarbamol 
Bepsar ,Losartan Potassium 
Bepsar Plus ,Losartan Potassium 
Blaze Plus ,Losartan Potassium 
Baritec ,Olmesartan Medoxomil 
Bionic ,Ibandronic Acid 
Bonviva ,Ibandronic Acid 
Bactizith ,Azithromycin 
Blephamide Oint ,Prednisolone 
Blephapred Oint ,Prednisolone 
Blephamide Drop ,Prednisolone 
Benclin ,Clindamycin 
Beltapro ,Clobetasol 
Bracin-D ,Dexamethasone 
Bromycin-D ,Dexamethasone 
Bestec ,Ebastine 
Basoquin ,Amodiaquine 
Barinep ,Nepafenac 
Bakacin ,Amikacin 
Baydal ,Cetirizine 
B-Lact ,Lactulose 
Bexus ,Levofloxacin 
Brodin ,Levofloxacin 
Brotin ,Bromocriptine 
Basagine ,Insulin Glargine 
Butrin ,Bupropion 
Bismol ,Bismuth Subsalicylate 
Baxim ,Cefotaxime 
Bestrix ,Ceftriaxone 
Bestrix I.V ,Ceftriaxone 
Bacticlor ,Cephalexin 
Betamet ,"Betamethasone Valerate, Topical "
Betoptic-S Eye Drop ,"Betaxolol, Eye"
Berica ,Etoricoxib 
Bludol ,Ibuprofen 
Brufen ,Ibuprofen 
Betadex ,Piroxicam-beta-cyclodextrin 
Boshcam-B ,Piroxicam-beta-cyclodextrin 
Brexin ,Piroxicam-beta-cyclodextrin 
Benprost ,Beraprost
Bepra ,Rabeprazole
Buzon ,Risperidone
Bynevol ,Nebivolol HCl
Betaderm-NM ,Betamethasone
Bactamox ,Amoxicillin
Btrol ,Tranexamic Acid
Biocobal ,B12 
Bambec ,Bambuterol 
Bisleri ,Iron Polymaltose 
Bofalgan ,Paracetamol 
Bozpah ,Bosentan Monohydrate 
Bactocan ,Fluconazole 
Bamtel ,"Bambuterol, Oral "
Btno ,"Bambuterol, Oral "
Bamifix ,Bamifylline 
Bronkeez ,Montelukast 
Brethin ,Terbutaline Inj/Oral 
Bremax ,Tulobuterol HCL 
Bezel ,Mecobalamin
Bispa ,Bisoprolol 
Betanorm ,Nebivolol HCl 
Barilol ,Bisoprolol 
Brimson (,Brimonidine Tartrate 
Brimson Plus (,Brimonidine Tartrate + Timolol Maleate 
Betabar Ophthalmic Solution   solution,Levobunolol
Bold ,Omeprazole 
BTig ,Tigecycline 
Brivera ,Brivaracetam 
Bilagol - L  ,Lactulose 
Bisleri Capsule  capsule,Iron Polymaltose
Briax ,Piroxicam 
Bisleri  chewable tablet,Iron  Hydroxide Polymaltose Complex + Folic A
Boshcam-B ,Piroxicam beta Cyclodextrin 
Bispa ,Bisoprolol Fumarate 
Betaderm N Cream ,"Betamethasone Valerate, Topical"
Betaderm Ointment ,"Betamethasone Valerate, Topical"
Betaderm N Ointment ,"Betamethasone Valerate, Topical"
Betaderm Cream ,"Betamethasone Valerate, Topical"
Betagenic Cream ,"Betamethasone Valerate, Topical "
Betnesol Eye Ointment ,Betamethasone
Britanyl Syrup ,Terbutaline 
Bronkal Syrup ,Sulbutamol
Bronkal Respiratory Sol ,Sulbutamol
Betnovate Ointment ,"Betamethasone Valerate, Topical"
Betnovate -N Cream ,"Betamethasone Valerate, Topical"
Biguanil ,Metformin 
Blephapred Drop ,Prednisolone 
Betadrop-N ,Betamethasone 
Betnesol-N ,Betamethasone 
Belair ,Levocetirizine 
Bronchilate Syrup  syrup,Sulbutamol
Bludol Ds ,Ibuprofen 
Brufen DS ,Ibuprofen 
Betagenic Ointment ,Gentamicin 
Barilol Tab ,Bisoprolol
Biscot ,Amlodipine 
Betnesol-N  ,Betamethasone 
Brufen ,"Ibuprofen, topical "
Bronchilate ,Sulbutamol 
Bepanthol Body Lotion ,Dexpanthenol
Biolan Gel  gel,Sodium Hyaluronate
Bepanthen Protective Baby Ointment  ointment,Dexpanthenol
Bonedol ,Alfacalcidol
Bambec ,"Bambuterol, Oral "
Bekson ,Beclomethasone
Bepanthen Plus ,Chlorhexidine
Betaderm Lotion ,"Betamethasone Valerate, Topical "
Brevoxyl ,Benzoyl Peroxide 
BROMALEX ,Bromazepam 
Bessfam ,Famotidine 
Beta Block ,Propranolol HCl 
Betanol ,Propranolol HCl 
Blockonol ,Propranolol HCl 
Byetta ,Exenatide 
Bamaryl ,Glimepiride 
Bnor ,Buprenorphine 
Buper ,Buprenorphine 
Bupicain ,Bupivacaine 
Betagan  drops,Levobunolol
Batin ,Gabapentin 
Biogaba ,Gabapentin 
Branon ,Gabapentin 
Blin ,Pregabalin. 
Brainamax ,Topiramate 
Butacon  cream,Butoconazole
Brumixol ,Ciclipirox Olamine 
Begesic ,Orphenadrine 
Baclin ,Baclofen 
Baclorax ,Baclofen 
Baflex ,Baclofen 
Blopress ,Candesartan Cilexetil 
Blaze ,Losartan Potassium 
Bismax ,Alendronate 
Bonafide ,Alendronate 
Bonate ,Alendronate 
Bonemed ,Alendronate 
Bonfit ,Alendronate 
Bongard ,Alendronate 
Bonpart ,Alendronate 
Bostrong ,Alendronate 
Bondronat ,Ibandronic Acid 
Bonvir ,Ibandronic Acid 
Bone ,Risedronate Sodium 
Butyn ,Oxybutynin 
Biozit ,Azithromycin 
Biozith ,Azithromycin 
Bericin ,Clarithromycin 
Bioclar ,Clarithromycin 
BV-Clar ,Clarithromycin 
Bioyetin ,Epoetin Alfa 
Benprol ,Esomeperazole 
Bioprazole ,Esomeperazole 
Bacty-Forte ,Trimethoprim 
Bezclin ,Clindamycin 
Bradex ,Dexamethasone 
Bacitran ,Trimethoprim 
Biotran Forte ,Trimethoprim 
Biotran ,Trimethoprim 
Biprim ,Trimethoprim 
Biprim Ds ,Trimethoprim 
Bio-Lumefar ,Artemether 
Bitether ,Artemether 
Binaquine ,Chloroquine Phosphate 
Bendole ,Albendazole 
Bikil ,Amikacin 
Buscopharm ,Hyoscine 
Buscomed ,Hyoscine 
Buscopan Plus ,Hyoscine 
Bioferon ,Interferon Alfa-2b. 
Betaferon ,Interferon Beta-1b 
Benprofen ,Flurbiprofen 
Bertolac ,Lactulose 
Bilagol ,Lactulose 
Bestolens ,Lansoprazole 
Benalox ,Levofloxacin 
Bestolev ,Levofloxacin 
Bedzol ,Mebendazole 
Bendamox ,Mebendazole 
Bone-Care ,Alfacalcidol 
Bromicon ,Bromocriptine 
Butarex + INH ,Ethambutol 
Beprazole ,Omeprazole 
Burnasil ,Silver Sulphadiazine 
Basalin ,Insulin Glargine 
Bentoril ,Captopril 
BPMED ,Lisinopril dihydrate 
B.P.A.C.E ,Ramipril 
Basix ,Furosemide 
Befenac ,Mefenamic Acid 
Bamol ,Paracetamol 
Bencitamol ,Paracetamol 
Bivaclor ,Cefaclor 
Bivaclor DS,Cefaclor 
BD-cef ,Cefadroxil 
BD-rox ,Cefadroxil 
Bendrox ,Cefadroxil 
Bestoxil ,Cefadroxil 
Bio-oxil ,Cefadroxil 
Biodroxil ,Cefadroxil 
Benpime ,Cefepime 
Bio Nex ,Cefepime 
Biopime ,Cefepime 
Bioprim ,Cefepime 
Blupine ,Cefepime 
Bactirid ,Cefixime 
Benifix ,Cefixime 
Bestar ,Cefixime 
Bestar DS,Cefixime 
Bexacim ,Cefixime 
Biozil ,Cefixime 
Blevo ,Cefixime 
Bs-cef ,Cefixime 
Bactimed ,Cefoperazone 
Bactizone ,Cefoperazone 
Benzone ,Cefoperazone 
Bactecef ,Cefoperazone 
Bacticef ,Cefoperazone 
Bezone ,Cefoperazone 
Biped ,Cefoperazone 
Bacxime ,Cefotaxime 
Biolog ,Cefotaxime 
Biotaxime ,Cefotaxime 
Bioxim ,Cefotaxime 
Boscef ,Cefotaxime 
Breetex ,Cefotaxime 
Bendoxim ,Cefpodoxime 
Breen ,Cefpodoxime 
Buticef ,Cefpodoxime 
Bactazime ,Ceftazidime 
BioMed ,Ceftazidime 
Biozid ,Ceftazidime 
Blotaz ,Ceftazidime 
Breefort ,Ceftazidime 
Blisson ,Ceftriaxone 
Blucef ,Ceftriaxone 
Breezon ,Ceftriaxone 
Brilgen ,Ceftriaxone 
Burgundy ,Ceftriaxone 
Benroxim ,Cefuroxime 
Biroxime ,Cefuroxime 
Bloxime ,Cefuroxime 
Bactex ,Cephalexin 
Blocef ,Cephalexin 
Bactil ,Cephradine 
Bactocef ,Cephradine 
Bectocef ,Cephradine 
Benicef ,Cephradine 
Biocef ,Cephradine 
Biodine ,Cephradine 
Bloxib ,Celecoxib 
Brutek ,Dexibuprofen 
Bravo ,Diclofenac Sodium and Misoprostol 
Balax ,Diclofenac Sodium 
Biprotec ,Flurbiprofen 
Brufoz ,Flurbiprofen 
Brufen plus ,Ibuprofen 
Baprofen ,Ibuprofen 
Bravofen ,Ibuprofen 
Brosun ,Ibuprofen 
Brufedin ,Ibuprofen 
Brugesic ,Ibuprofen 
Budex DS,Ibuprofen 
Bio-Prox ,Naproxen 
Bloxen ,Naproxen 
BCD-,Piroxicam 
Beladex ,Piroxicam 
Beta-Lib ,Piroxicam 
Betabest ,Piroxicam 
Betane ,Piroxicam 
Biocam ,Piroxicam 
Biodextrin ,Piroxicam 
Bruxicam ,Piroxicam 
B-Rex ,Piroxicam-beta-cyclodextrin 
Beta-,Piroxicam-beta-cyclodextrin 
Betacare ,Piroxicam-beta-cyclodextrin 
Betoxi ,Piroxicam-beta-cyclodextrin 
Bewel ,Piroxicam-beta-cyclodextrin 
Bexagen ,Piroxicam-beta-cyclodextrin 
Bless ,Piroxicam-beta-cyclodextrin 
Brecam ,Piroxicam-beta-cyclodextrin 
Brexicam ,Piroxicam-beta-cyclodextrin 
Brexidol ,Piroxicam-beta-cyclodextrin 
Brixton ,Piroxicam-beta-cyclodextrin 
BCG Vaccine  injection,BCG Vaccine
Biseko  infusion,Serum proteins 
B-nor ,Buprenorphine 
Bubrifen ,Buprenorphine 
Buepron ,Buprenorphine 
Bunorfin ,Buprenorphine 
Bupregesic ,Buprenorphine 
Bambuscot ,"Bambuterol, Oral "
Bambuzaf ,"Bambuterol, Oral "
Basthma ,"Bambuterol, Oral "
Buterol ,"Bambuterol, Oral "
Butral ,"Bambuterol, Oral "
Brancol ,Montelukast 
Breath ,Montelukast 
Bronast ,Montelukast 
Bronchokast ,Montelukast 
Bronokast ,Montelukast 
Bronsecur ,Montelukast 
Bronchilate ,Salbutamol 
Butamol ,Salbutamol 
Bisleri Capsules  capsule,Iron Polymaltose
Bonejia ,Cholecalciferol 
Biofen ,Flurbiprofen 
Breeky ,Misoprostol 
Butrin XL ,Bupropion HCl 
Basic Flood Relief Package  Pcs,Flood Relief 2022
Bonjela Gel (,Choline Salicylate 
Bactroban Cream  cream,Mupirocin
B-loc ,Atenolol 
Bekolol ,Atenolol 
Blocker ,Atenolol 
Bison ,Bisoprolol 
Bispirol ,Bisoprolol 
Bemide ,Glibenclamide 
Benclamide ,Glibenclamide 
Benil ,Glibenclamide 
Bifin ,Nalbuphine 
Buphain ,Nalbuphine 
Bucan ,Bupivacaine 
Bupine ,Bupivacaine 
Blissalkali ,Sodium Acid Citrate 
Bacitizith ,Azithromycin 
Biomycin ,Chloramphenicol 
Biprim Forte ,Trimethoprim 
Biovate ,Clobetasol 
Betarex ,Betamethasone 
Betatek ,Betamethasone 
Betarex-N ,Betamethasone 
Biopred ,Prednisolone 
Blepharite ,Prednisolone 
Batelo ,Clobetasol 
Betatek-N ,Betamethasone 
Bastin ,Ebastine 
Besta ,Ebastine 
Bestin ,Ebastine 
Bestmox ,Ebastine 
Bianchi ,Levocetirizine 
Benda ,Albendazole 
Bendazol ,Albendazole 
Bentil ,Albendazole 
Blokasin ,Amikacin 
Bytec ,Cetirizine 
Bariton ,Chlorpheniramine 
Bro-Z ,Flurbiprofen 
Bronk ,Ketotifen 
Baclor ,Loratadine 
Benzopine ,Diazepam 
Bepril ,Lisinopril dihydrate 
Baplow ,Indapamide 
Benol ,Nifuroxazide 
Bixo ,Celecoxib 
Beflam ,Diclofenac potassium 
Biodic P ,Diclofenac potassium 
Biodic ,Diclofenac Sodium 
Bepofen ,Ibuprofen 
Blufen ,Ibuprofen 
Budex DS Syrup ,Ibuprofen 
Belcam ,Meloxicam 
Blunid ,Nimesulide 
Brozicam ,Piroxicam 
Bastigon ,Ebastine 
Betacin-N ,Betamethasone
Benzibiotic (Pencilin - G Benzathine) ,Penicillin 
Betaderm N ,Betamethasone 
Buta ,Dobutamine 
Baxterol ,Paracetamol 
Benamol ,Paracetamol 
Broncophyline ,Acefylline 
Bronkonorm ,Acefylline 
Brophyl ,Acefylline 
Blissbroncal ,Salbutamol 
Brankosol ,Salbutamol 
Bretheez ,Salbutamol 
Broncolin ,Salbutamol 
Broncorex ,Salbutamol 
Bronkal Oral ,Salbutamol 
Broven ,Salbutamol 
Brovolin ,Salbutamol 
Butamin ,Salbutamol 
Bremax ,Tulobuterol 
Cefomerc ,Cefotaxime 
Cefon ,Cefotaxime 
Cefotax ,Cefotaxime 
Claforan ,Cefotaxime 
Claforan IV ,Cefotaxime 
Clavox ,Cefotaxime 
Cliver ,Cefotaxime 
Cefidox ,Cefpodoxime 
Cefprox ,Cefpodoxime 
Co-Dorzal ,Dorzolamide 
Cefcom ,Ceftazidime 
Ceftiz ,Ceftazidime 
Cefizox ,Ceftizoxime 
Cefotrim ,Ceftriaxone 
Cefxone ,Ceftriaxone 
Celtis ,Ceftriaxone 
Cutis ,Terbinafine 
Ceflex ,Cephalexin 
Ceporex ,Cephalexin 
Ceporex Suspension ,Cephalexin 
Cran Max  powder,Cranberry Extract
C-Yalta ,Duloxetine
Co-Depricap ,Fluoxetine 
Cefamezin ,Cephazolin 
Cefrinex ,Cephradine 
Cephgen-,Cephradine 
Celbexx ,Celecoxib 
Celoxib ,Celecoxib 
Celstar ,Celecoxib 
Caflam ,Diclofenac potassium 
Catafen ,Diclofenac potassium 
Clonap ,Diclofenac potassium 
Cytopan ,Diclofenac Sodium and Misoprostol 
Clopid ,Clopidogrel Bisulphate
Cova ,Valsartan 
Covam ,Valsartan 
Cobolmin ,Mecobalamin 
Cara ,Leflunomide 
Cyclodex ,Piroxicam-beta-cyclodextrin 
Cycloram ,Piroxicam-beta-cyclodextrin 
Ciprox ,Ciprofloxacin 
Ceregin ,Co-dergocrine Mesylate
Ceremin ,Piracetam
Capril ,Captopril 
Cimet ,Cimetidine
Cal One-D ,Calcium Supplement 
Calamox DS ,Co-amoxiclav 
Co-Valtec ,Valsartan 
Clozole-H ,Hydrochlorothiazide..
Crestat ,Rosuvastatin calcium 
Cipotic  drops,Ciprofloxacin
Curanep ,Nepafenac 
Cipesta ,Ciprofloxacin 
Claritek ,Clarithromycin 
Conaz ,"Ketoconazole, topical "
Co-Valtec ,Hydrochlorothiazide 
Cosome  syrup,Dextromethorphan hydrobromide
Carveda ,Carvedilol 
Calfina ,Tramadol 
Campex-P ,Tramadol 
Canesten ,Clotrimazole 
Cidpro ,Omeprazole 
Cordarone ,Amiodarone 
Corlet ,Isosorbide Mononitrate 
Coralan ,Ivabradine 
Cardioplegia ,Nicronadil 
Cogin  tablet,Ginko Biloba containing preps
Conaz  topical lotion,"Ketoconazole, topical"
Citro Soda (Orange) ,Tartaric Acid Containing Antacid Effervescent Salt 
Cidine ,Cinitapride 
Cedrox-BD ,Cefadroxil 
Cran Max Aqua Ginger ,Cranberry Extract 
Conkast ,Montelukast 
Contine ,Memantine 
Conzyme ,Serrapeptase 
Covance ,Amlodipine 
Calamox Drops ,Co-amoxiclav 
Crescor ,Rosuvastatin calcium
Co-Extor ,Amlodipine besylate 
Clotnil Plus ,Aspirin 
Ceclor ,Cefaclor 
Calfina Plus ,Tramadol 
Cyclo ,Cyclosporin 
Co-Amstan ,Amlodipine 
Combihale (,Ipratropium Bromide 
Ceremin Tablet ,Piracetam 
Casodex ,Bicalutamide 
Campto ,Irinotecan 
Clenil For Aerosol ,Beclomethasone 
Ceregin ,Co-dergocrine Mesylate 
Conifa ,Solifenacin Succinate 
Clenil Comp For Aerosol ,Beclomethasone 
Calamox Tablet ,Co-amoxiclav 
Cefgard ,Cefaclor 
Cefresh            ,Cephradine 
Cutis ,"Terbinafine,Oral "
Clotles SS   ,Enoxaparin 
Clotles SS ,Enoxaparin 
Crescor ,Rosuvastatin calcium 
Creato SR ,Trimetazidine dihydrochloride 
Clotles Plus  ,Aspirin 
Corbis-H ,Bisoprolol Fumarate 
Cinoflox  ,Ciprofloxacin 
Ciprolis ,Ciprofloxacin 
Clopid Asp ,Aspirin 
Cova-H ,Hydrochlorothiazide 
Clinda-T ,Clindamycin Topical 
Clinda Plus  lotion,Clindamycin Topical
Cinva ,Vancomycin 
Cinam ,Imipemide 
Citanew   drops,Escitalopram
Cran Max Pro  sachet,Cranberry Extract
Cetralex ,Sertraline 
Clarixin  gel,Erythromycin
Cadik ,Calcium Supplement 
Costa ,Carbocisteine 
Costa - Pro ,Carbocisteine 
Covam Plus ,Amlodipine besylate 
Conosave ,Fluconazole 
Canter ,Clarithromycin 
Canesten  ,Clotrimazole 
Co - Olan ,Olanzapine + Fluoxetine 
Calfina CR  tablet,Tramadol
Carodek ,Vitamin C & E 
Ceclor MR ,Cefaclor 
Cinklare ,Cefixime 
Cinklare  ,Cefixime 
Cofif Plus  syrup,Ivy Leaf Extract
Cougar ,Rosuvastatin calcium 
Co-Mether DS ,Artemether 
Clinda ,Clindamycin 
Calan SR ,Verapamil HCl 
Canter ,Clarithromycin
Co-Aprovel ,Irbesartan 
Calan ,Verapamil HCl 
Cardura ,Doxazosin Mesylate 
Ciproxin ,Ciprofloxacin 
Chewcal  tablet,Calcium Supplement
Cecon ,Vitamin C 
Cardnit ,Glyceryl Trinitrate 
Cerophene ,Clomiphene 
Combivair ,Budesonide 
Colofac ,Mebeverine 
Co-Tritace ,Ramipril 
Clenil ,Beclomethasone 
Cipram ,Citalopram
Citanew ,Escitalopram 
Citro Soda Powder Sachet lemon ,Tartaric Acid Containing Antacid Effervescent Salt 
Contractubex ,Heparin
Curine ,Naphazoline
Chymoral Forte  tablet,Trypsin
Caldree ,Calcium carbonate 
Co-Plavix ,Clopidogrel hydrogen sulphate 
Citalo ,Citalopram 
Cardura ,Doxazosin 
Cellcept ,Mycophenolate 
Cebosh DS ,Cefixime 
Cipralex ,Escitalopram 
Cytopan ,Diclofenac Sodium 
Cyrocin ,Ciprofloxacin 
Cebosh ,Cefixime
Crafilm Chewable Tablets  tablet,Sucralfate
Cefiget ,Cefixime 
Ciprin ,Ciprofloxacin 
Cefspan Ds ,Cefixime
Colenticon (sugar Free)  suspension,Aluminium Hydroxide
Cycin ,Ciprofloxacin 
Calcee ,Calcium Supplement 
Cipocain Ear Drops  ear drop,Ciprofloxacin
Cipval Tab ,Ciprofloxacin
Cipval ,Ciprofloxacin
CILOXAN Eye Drops ,Ciprofloxacin 
Clexane ,Enoxaparin
Clomid ,Clomiphene 
Cosom ,Cough Sedative
Coversam ,Perindopril 
Cefim ,Cefixime 
Concor ,Bisoprolol Hemifumarate 
Corbis ,Bisoprolol Fumarate 
Carlov ,Carvedilol 
Campex ,Tramadol 
Clycin-V ,Clindamycin 
Canesten Vaginal ,Clotrimazole 
Colril ,Thiocolchicoside 
Co-Olesta ,Olmesartan Medoxomil 
Co-Olesta. ,Olmesartan Medoxomil 
Co-Tasmi ,Telmisartan 
Co-Telsan ,Telmisartan 
Co-Diovan ,Valsartan 
Co-Valid ,Valsartan 
Co-Valstar ,Valsartan 
Cansaar ,Candesartan Cilexetil 
Carac ,Candesartan Cilexetil 
Cartex ,Candesartan Cilexetil 
Canrec Plus ,Candesartan Cilexetil 
Cansaar Plus ,Candesartan Cilexetil 
Cartex H ,Candesartan Cilexetil 
CO-Aprovel ,Irbesartan 
CO-A,Losartan Potassium 
Co-Eziday ,Losartan Potassium 
Co-Baritec ,Olmesartan Medoxomil 
Cetrotide ,Cetrorelix 
Cystalgon ,Flavoxate 
Carcin ,Clarithromycin 
Clacin ,Clarithromycin 
Clamont ,Clarithromycin 
Clarabac ,Clarithromycin 
Claract ,Clarithromycin 
Claramed ,Clarithromycin 
Claraze ,Clarithromycin 
Claritek  ,Clarithromycin 
Claritek XL ,Clarithromycin 
Clarithro ,Clarithromycin 
Clariza ,Clarithromycin 
Contour ,Esomeperazole 
Clinda Topical ,Clindamycin 
Clavopin ,Amoxicillin 
Co-Amoxi ,Co-amoxiclav 
Cipotic-D ,Dexamethasone 
Clindamycin ,Clindamycin 
Clinda Derm ,Clindamycin 
Clindacin ,Clindamycin 
Clindamax ,Clindamycin 
Clycin-T ,Clindamycin 
Clobevate ,"Clobetasol, topical "
Covate ,Clobetasol 
Calamox ,Co-amoxiclav 
Calamox ,Amoxicillin 
Comox ,Dexamethasone 
Calcipot ,Calcipotriol 
Clear ,Adapalene 
Cosmin ,Isotretinoin Topical 
Conazit ,Fluconazole 
Cutivate M ,Fluticasone Propionate 
Cutivate ,Fluticasone Propionate 
Cynfo ,Fosfomycin 
Cinquin ,Levofloxacin 
Cravit ,Levofloxacin 
Cubac ,Levofloxacin 
Celestin ,Loratadine 
Capoten ,Captopril 
Captil ,Captopril 
Cortec ,Enalapril Maleate 
Co-Renitec ,Enalapril Maleate 
Co-Zeal ,Enalapril Maleate 
Cortec Plus ,Enalapril Maleate 
Corace ,Lisinopril dihydrate 
Co-Novatec ,Lisinopril dihydrate 
Co-Trupril ,Lisinopril dihydrate 
Co-Ziscar ,Lisinopril dihydrate 
Corace Plus ,Lisinopril dihydrate 
Coversyl ,Perindopril 
Coversyl Plus ,Perindopril 
Calpol  Plus ,Paracetamol 
Calpol (B.P) ,Paracetamol 
Cavalor ,Cefaclor 
Ceclor MR,Cefaclor 
Cefalor ,Cefaclor 
Cefgard forte,Cefaclor 
Clorex ,Cefaclor 
corvin ,Cefaclor 
Cedrox ,Cefadroxil 
Ceroxil ,Cefadroxil 
Cefstar ,Cefepime 
Cepime ,Cefepime 
Caricef ,Cefixime 
Caricef DS ,Cefixime 
Cebosh ,Cefixime 
Cef-OD ,Cefixime 
Cefexol ,Cefixime 
Cefexol DS,Cefixime 
Cefiget DS ,Cefixime 
Cefirant ,Cefixime 
Cefirant DS ,Cefixime 
Cefiscot ,Cefixime 
Cefix ,Cefixime 
Cefix DS,Cefixime 
Ceforal-,Cefixime 
Cefspan ,Cefixime 
Ceftas ,Cefixime 
Ceftas DS,Cefixime 
Cefobid ,Cefoperazone 
Cebac ,Cefoperazone 
Cefactum ,Cefoperazone 
Ceflactam ,Cefoperazone 
Chem One ,Cefoperazone 
Chem One IM / IV ,Cefoperazone 
CPS ,Cefoperazone 
Cofif  drop,Ivy Leaf Extract
CaC-,Calcium Supplement
Calpol ,Paracetamol 
Cicatrin Powder  powder,Neomycin
Calpol Paediatric  suspension,Paracetamol
Cosome-E  syrup,Co-careldopa
Clobevate Ointment ,"Clobetasol, topical "
Clotrim ,Clotrimazole
Corbis-H ,Bisoprolol and Hydrochlorothiazide 
Cardinol ,Propranolol HCl 
Citralka  liquid,Sodium Acid Citrate
Clobeta ,Clobetasol 
Clobetol ,Clobetasol 
Co-Amoxi ,Amoxicillin 
Cortisporin Eye  ointment,Hydrocortisone
Clobederm ,"Clobetasol, topical "
Clobederm-NN  ointment,Clobetasol Propionate
Clobederm-S ,Clobetasol Propionate 
Cetrix ,Cetirizine 
Conflu ,Fluconazole 
Ciof ,Ofloxacin 
Cardace ,Enalapril Maleate 
Cardil ,Enalapril Maleate 
Co-Cardiotec ,Enalapril Maleate 
Camocep ,Cephalexin 
Curall-A ,Antazoline 
Cefresh ,Cephradine 
Cephril ,Cephradine 
Cardiotec   ,Enalapril Maleate 
Cardace-H ,Enalapril Maleate 
Carlov  ,Carvedilol 
Costa  ,Carbocisteine 
Cefogate ,Cefotaxime 
Cefomed ,Cefotaxime 
Ceforains ,Cefotaxime 
Ceforin ,Cefotaxime 
Cefotam ,Cefotaxime 
Cefoxim ,Cefotaxime 
Ceftax ,Cefotaxime 
Cefti ,Cefotaxime 
Ceftifixe ,Cefotaxime 
Ceftisav ,Cefotaxime 
Ceftop ,Cefotaxime 
Claftax ,Cefotaxime 
Clagen ,Cefotaxime 
Cliff ,Cefotaxime 
Cynotax ,Cefotaxime 
Cyox ,Cefotaxime 
Cefrom ,Cefpirome 
Cefrome ,Cefpirome 
C-Doxime ,Cefpodoxime 
Cedoxowin ,Cefpodoxime 
Cef-Poo ,Cefpodoxime 
Cefpo ,Cefpodoxime 
Cefpomed ,Cefpodoxime 
Cefporite ,Cefpodoxime 
Cepolib ,Cefpodoxime 
Cinotec ,Cefpodoxime 
Curidoxime ,Cefpodoxime 
Cozaar ,Losartan Potassium
Cayzon ,Ceftazidime 
Cefaz ,Ceftazidime 
Cefazid ,Ceftazidime 
Cefodime ,Ceftazidime 
Cefosel ,Ceftazidime 
Ceftacin ,Ceftazidime 
Ceftaz ,Ceftazidime 
Cefwell ,Ceftazidime 
Ceplo ,Ceftazidime 
Cetadine ,Ceftazidime 
Cezaf ,Ceftazidime 
Cizdim ,Ceftazidime 
Ceftisyn ,Ceftizoxime 
C-Nex ,Ceftriaxone 
C-Trox ,Ceftriaxone 
Carazone ,Ceftriaxone 
Carewel ,Ceftriaxone 
Caylocef ,Ceftriaxone 
Cef Moon ,Ceftriaxone 
Cefafin ,Ceftriaxone 
Cefast ,Ceftriaxone 
Cefcin ,Ceftriaxone 
Cefinig ,Ceftriaxone 
Cefocef ,Ceftriaxone 
